,AT,V,AP,RH,EP
0,8.34,40.77,1010.84,90.01,480.48
1,23.64,58.49,1011.4,74.2,445.75
2,29.74,56.9,1007.15,41.91,438.76
3,19.07,49.69,1007.22,76.79,453.09
4,11.8,40.66,1017.13,97.2,464.43
5,13.97,39.16,1016.05,84.6,470.96
6,22.1,71.29,1008.2,75.38,442.35
7,14.47,41.76,1021.98,78.41,464.0
8,6.77,38.18,1017.8,81.13,484.31
9,28.28,68.67,1006.36,69.9,435.29
10,22.99,46.93,1014.15,49.42,451.41
11,29.3,70.04,1010.95,61.23,426.25
12,8.14,37.49,1009.04,80.33,480.66
13,16.92,44.6,1017.34,58.75,460.17
14,22.72,64.15,1021.14,60.34,453.13
15,18.14,43.56,1012.83,47.1,461.71
16,11.49,44.63,1020.44,86.04,471.08
17,9.94,40.46,1018.9,68.51,473.74
18,14.9,52.05,1015.11,77.33,464.82
19,33.8,64.96,1004.88,49.37,427.28
20,25.37,68.31,1011.12,70.99,441.76
21,7.29,41.04,1024.06,89.19,474.71
22,13.55,40.71,1019.13,75.44,467.21
23,6.39,35.57,1025.53,77.23,487.69
24,26.64,62.44,1011.81,72.46,438.67
25,7.84,41.39,1018.21,91.92,485.66
26,21.82,58.66,1011.71,64.37,452.16
27,27.17,67.45,1015.67,49.03,429.87
28,13.42,41.23,994.17,95.79,468.82
29,20.77,56.85,1012.4,83.63,442.85
30,8.29,36.08,1020.38,81.53,483.26
31,30.98,67.45,1015.18,45.4,433.59
32,31.96,71.29,1008.39,47.51,433.04
33,15.83,52.75,1024.3,58.34,458.6
34,22.56,70.79,1005.85,93.09,435.14
35,8.24,39.61,1017.99,78.42,477.9
36,24.66,60.29,1018.0,59.56,445.26
37,29.31,68.67,1006.18,63.38,435.57
38,21.48,66.91,1008.58,84.49,447.42
39,18.28,44.71,1016.99,33.71,462.28
40,26.96,65.34,1015.05,46.93,441.81
41,27.37,63.73,1009.79,65.25,437.24
42,16.3,39.63,1004.64,85.61,464.11
43,23.8,48.6,1002.43,67.32,440.89
44,8.19,41.66,1016.57,75.38,485.2
45,25.28,67.69,1009.05,68.54,445.34
46,21.47,70.32,1011.72,88.36,440.0
47,30.54,67.45,1014.37,32.97,431.35
48,18.3,44.06,1017.95,63.24,456.32
49,25.82,72.39,1003.4,86.33,432.98
50,15.99,39.63,1006.09,89.92,464.95
